Altitude (m),Pressure (Pa),Temperature (K)
9.800000e+03,2.293176e+04,2.244500e+02
9.850000e+03,2.270988e+04,2.241250e+02
9.900000e+03,2.248952e+04,2.238000e+02
9.950000e+03,2.227066e+04,2.234750e+02
1.000000e+04,2.205332e+04,2.231500e+02
1.005000e+04,2.183748e+04,2.228250e+02
1.010000e+04,2.162313e+04,2.225000e+02
1.015000e+04,2.141027e+04,2.221750e+02
1.020000e+04,2.119890e+04,2.218500e+02
1.025000e+04,2.098902e+04,2.215250e+02
1.030000e+04,2.078060e+04,2.212000e+02
1.035000e+04,2.057366e+04,2.208750e+02
1.040000e+04,2.036818e+04,2.205500e+02
1.045000e+04,2.016416e+04,2.202250e+02
1.050000e+04,1.996160e+04,2.199000e+02
1.055000e+04,1.976048e+04,2.195750e+02
1.060000e+04,1.956081e+04,2.192500e+02
1.065000e+04,1.936258e+04,2.189250e+02
1.070000e+04,1.916578e+04,2.186000e+02
1.075000e+04,1.897041e+04,2.182750e+02
1.080000e+04,1.877646e+04,2.179500e+02
1.085000e+04,1.858393e+04,2.176250e+02
1.090000e+04,1.839280e+04,2.173000e+02
1.095000e+04,1.820309e+04,2.169750e+02
1.100000e+04,1.801478e+04,2.166500e+02
1.105000e+04,1.787439e+04,2.166500e+02
1.110000e+04,1.773510e+04,2.166500e+02
1.115000e+04,1.759690e+04,2.166500e+02
1.120000e+04,1.745978e+04,2.166500e+02
1.125000e+04,1.732373e+04,2.166500e+02
1.130000e+04,1.718875e+04,2.166500e+02
1.135000e+04,1.705482e+04,2.166500e+02
1.140000e+04,1.692194e+04,2.166500e+02
1.145000e+04,1.679011e+04,2.166500e+02
1.150000e+04,1.665930e+04,2.166500e+02
1.155000e+04,1.652951e+04,2.166500e+02
1.160000e+04,1.640074e+04,2.166500e+02
1.165000e+04,1.627298e+04,2.166500e+02
1.170000e+04,1.614622e+04,2.166500e+02
1.175000e+04,1.602045e+04,2.166500e+02
1.180000e+04,1.589566e+04,2.166500e+02
